<TOKEN: INT_TYPE | LEXEM: int | Line: 1>
<TOKEN: NAME | LEXEM: addIntegers | LINE: 1>
<TOKEN: OPENPTHS | LEXEM: ( | LINE: 1>
<TOKEN: INT | LEXEM: int | Line: 1>
<TOKEN: NAME | LEXEM: first | Line: 1>
<TOKEN: COMMA | LEXEM: , | Line: 1>
<TOKEN: FLOAT | LEXEM: float | Line: 1>
<TOKEN: NAME | LEXEM: fourth | Line: 1>
<TOKEN: CLOSEPTHS | LEXEM: ) | LINE: 1>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 2>
<TOKEN: INT | LEXEM: int | Line: 3>
<TOKEN: NAME | LEXEM: a | Line: 3>
<TOKEN: COMMA | LEXEM: , | Line: 3>
<TOKEN: NAME | LEXEM: b | Line: 3>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 3>
<TOKEN: NAME | LEXEM: a | Line: 4>
<TOKEN: EQUAL | LEXEM: = | Line: 4>
<TOKEN: INT | LEXEM: 123 | Line: 4>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 4>
<TOKEN: NAME | LEXEM: b | Line: 5>
<TOKEN: EQUAL | LEXEM: = | Line: 5>
<TOKEN: INT | LEXEM: 3 | Line: 5>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 5>
<TOKEN: RETURN | LEXEM: return | Line: 6>
<TOKEN: NAME | LEXEM: addIntegers | Line: 6>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 6>
<TOKEN: NAME | LEXEM: first | Line: 6>
<TOKEN: ADD | LEXEM: + | Line: 6>
<TOKEN: NAME | LEXEM: second | Line: 6>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 6>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 6>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 7>
<TOKEN: FLOAT_TYPE | LEXEM: float | Line: 9>
<TOKEN: NAME | LEXEM: divideIntegers | LINE: 9>
<TOKEN: OPENPTHS | LEXEM: ( | LINE: 9>
<TOKEN: INT | LEXEM: int | Line: 9>
<TOKEN: NAME | LEXEM: first | Line: 9>
<TOKEN: COMMA | LEXEM: , | Line: 9>
<TOKEN: INT | LEXEM: int | Line: 9>
<TOKEN: NAME | LEXEM: third | Line: 9>
<TOKEN: CLOSEPTHS | LEXEM: ) | LINE: 9>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 10>
<TOKEN: INT | LEXEM: int | Line: 11>
<TOKEN: NAME | LEXEM: a | Line: 11>
<TOKEN: COMMA | LEXEM: , | Line: 11>
<TOKEN: NAME | LEXEM: b | Line: 11>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 11>
<TOKEN: IF | LEXEM: if | Line: 12>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 12>
<TOKEN: NAME | LEXEM: second | Line: 12>
<TOKEN: SAME | LEXEM: == | Line: 12>
<TOKEN: INT | LEXEM: 0 | Line: 12>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 12>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 13>
<TOKEN: RETURN | LEXEM: return | Line: 14>
<TOKEN: INT | LEXEM: 0 | Line: 14>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 14>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 15>
<TOKEN: RETURN | LEXEM: return | Line: 16>
<TOKEN: NAME | LEXEM: first | Line: 16>
<TOKEN: DIV | LEXEM: / | Line: 16>
<TOKEN: NAME | LEXEM: second | Line: 16>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 16>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 17>
<TOKEN: DOUBLE | LEXEM: double | Line: 19>
<TOKEN: NAME | LEXEM: globalVariable | Line: 19>
<TOKEN: EQUAL | LEXEM: = | Line: 19>
<TOKEN: FLOAT | LEXEM: -15.67 | Line: 19>
<TOKEN: COMMA | LEXEM: , | Line: 19>
<TOKEN: NAME | LEXEM: secondGlobal | Line: 19>
<TOKEN: EQUAL | LEXEM: = | Line: 19>
<TOKEN: INT | LEXEM: 123 | Line: 19>
<TOKEN: SEMICOLON | LEXEM: ; | LINE: 19>
<TOKEN: INT_TYPE | LEXEM: int | Line: 21>
<TOKEN: NAME | LEXEM: main | LINE: 21>
<TOKEN: OPENPTHS | LEXEM: ( | LINE: 21>
<TOKEN: INT | LEXEM: int | Line: 21>
<TOKEN: NAME | LEXEM: x | Line: 21>
<TOKEN: COMMA | LEXEM: , | Line: 21>
<TOKEN: INT | LEXEM: int | Line: 21>
<TOKEN: NAME | LEXEM: y | Line: 21>
<TOKEN: CLOSEPTHS | LEXEM: ) | LINE: 21>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 22>
<TOKEN: INT | LEXEM: int | Line: 23>
<TOKEN: NAME | LEXEM: myFirstVariable | Line: 23>
<TOKEN: EQUAL | LEXEM: = | Line: 23>
<TOKEN: INT | LEXEM: +123 | Line: 23>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 23>
<TOKEN: FLOAT | LEXEM: float | Line: 24>
<TOKEN: NAME | LEXEM: mySecondVariable | Line: 24>
<TOKEN: EQUAL | LEXEM: = | Line: 24>
<TOKEN: FLOAT | LEXEM: -45.123 | Line: 24>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 24>
<TOKEN: STRING | LEXEM: string | Line: 25>
<TOKEN: NAME | LEXEM: myThirdVariable | Line: 25>
<TOKEN: EQUAL | LEXEM: = | Line: 25>
<TOKEN: STRING | LEXEM: "3" | Line: 25>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 25>
<TOKEN: FOR | LEXEM: for | Line: 27>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 27>
<TOKEN: INT | LEXEM: int | Line: 27>
<TOKEN: NAME | LEXEM: i | Line: 27>
<TOKEN: EQUAL | LEXEM: = | Line: 27>
<TOKEN: INT | LEXEM: 0 | Line: 27>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 27>
<TOKEN: NAME | LEXEM: i | Line: 27>
<TOKEN: SMALLER | LEXEM: < | Line: 27>
<TOKEN: NAME | LEXEM: myThirdVariable | Line: 27>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 27>
<TOKEN: NAME | LEXEM: i | Line: 27>
<TOKEN: EQADD | LEXEM: += | Line: 27>
<TOKEN: NAME | LEXEM: addIntegers | Line: 27>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 27>
<TOKEN: INT | LEXEM: 1 | Line: 27>
<TOKEN: COMMA | LEXEM: , | Line: 27>
<TOKEN: INT | LEXEM: 2 | Line: 27>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 27>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 27>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 28>
<TOKEN: NAME | LEXEM: myFirstVariable | Line: 29>
<TOKEN: EQADD | LEXEM: += | Line: 29>
<TOKEN: NAME | LEXEM: i | Line: 29>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 29>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 30>
<TOKEN: DECREMENT | LEXEM: --& | Line: 32>
<TOKEN: NAME | LEXEM: myThirdVariable | Line: 32>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 32>
<TOKEN: STRING | LEXEM: string | Line: 34>
<TOKEN: NAME | LEXEM: myString | Line: 34>
<TOKEN: EQUAL | LEXEM: = | Line: 34>
<TOKEN: STRING | LEXEM: "" | Line: 34>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 34>
<TOKEN: IF | LEXEM: if | Line: 36>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 36>
<TOKEN: NAME | LEXEM: myFirstVariable | Line: 36>
<TOKEN: GREATER_EQ | LEXEM: >= | Line: 36>
<TOKEN: NAME | LEXEM: mySecondVariable | Line: 36>
<TOKEN: AND | LEXEM: && | Line: 36>
<TOKEN: NAME | LEXEM: globalVariable | Line: 36>
<TOKEN: DIFF | LEXEM: != | Line: 36>
<TOKEN: FLOAT | LEXEM: 16.54 | Line: 36>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 36>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 37>
<TOKEN: NAME | LEXEM: myString | Line: 38>
<TOKEN: EQUAL | LEXEM: = | Line: 38>
<TOKEN: STRING | LEXEM: "Both conditions are true" | Line: 38>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 38>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 39>
<TOKEN: ELSE | LEXEM: else | Line: 41>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 42>
<TOKEN: NAME | LEXEM: myString | Line: 43>
<TOKEN: EQUAL | LEXEM: = | Line: 43>
<TOKEN: STRING | LEXEM: "At least one of the conditions is false" | Line: 43>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 43>
<TOKEN: INT | LEXEM: int | Line: 44>
<TOKEN: NAME | LEXEM: temp | Line: 44>
<TOKEN: EQUAL | LEXEM: = | Line: 44>
<TOKEN: NAME | LEXEM: myFirstVariable | Line: 44>
<TOKEN: ADD | LEXEM: + | Line: 44>
<TOKEN: INT | LEXEM: 5 | Line: 44>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 44>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 45>
<TOKEN: WHILE | LEXEM: while | Line: 47>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 47>
<TOKEN: NAME | LEXEM: true | Line: 47>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 47>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 47>
<TOKEN: WHILE | LEXEM: while | Line: 48>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 48>
<TOKEN: NAME | LEXEM: true | Line: 48>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 48>
<TOKEN: OPENBLOCK | LEXEM: { | LINE: 48>
<TOKEN: RETURN | LEXEM: return | Line: 49>
<TOKEN: INT | LEXEM: 1 | Line: 49>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 49>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 50>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 51>
<TOKEN: NAME | LEXEM: myThirdVariable | Line: 53>
<TOKEN: EQUAL | LEXEM: = | Line: 53>
<TOKEN: NAME | LEXEM: addIntegers | Line: 53>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 53>
<TOKEN: NAME | LEXEM: myFirstVariable | Line: 53>
<TOKEN: COMMA | LEXEM: , | Line: 53>
<TOKEN: NAME | LEXEM: mySecondVariable | Line: 53>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 53>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 53>
<TOKEN: FLOAT | LEXEM: float | Line: 55>
<TOKEN: NAME | LEXEM: myFloat | Line: 55>
<TOKEN: EQUAL | LEXEM: = | Line: 55>
<TOKEN: NAME | LEXEM: divideIntegers | Line: 55>
<TOKEN: OPENPTHS | LEXEM: ( | Line: 55>
<TOKEN: NAME | LEXEM: myThirdVariable | Line: 55>
<TOKEN: COMMA | LEXEM: , | Line: 55>
<TOKEN: NAME | LEXEM: myFirstVariable | Line: 55>
<TOKEN: CLOSEPTHS | LEXEM: ) | Line: 55>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 55>
<TOKEN: RETURN | LEXEM: return | Line: 57>
<TOKEN: INT | LEXEM: 0 | Line: 57>
<TOKEN: SEMICOLON | LEXEM: ; | Line: 57>
<TOKEN: CLOSEDBLOCK | LEXEM: } | LINE: 58>
